Product Name,Product Price,Product Discount,Product Review
NIVEA MEN Deep Antiperspirant Deodorant Stick For Men 48h - 50ml,KSh 720,No discount,4.2 out of 5(27)
AILYONS FK-0310 Stainless Steel 2.2L Electric Water Kettle-Black (1 YR WRTY),KSh 939,41%,3.9 out of 5(1180)
"NIVEA MEN Deep Antibacterial Anti-Perspirant Spray, 72h -150ml (Pack Of 2)","KSh 1,040",No discount,4.6 out of 5(346)
Set Of 2 Bed Pillows (Pair- Pure Fibre Filled),KSh 599,9%,3.9 out of 5(700)
NIVEA Black & White Clear Anti-Perspirant Rollon 48h - 50ml (Pack Of 2),"KSh 1,040",No discount,4.6 out of 5(109)
"Mosquito Net With Metallic Stand, - Purple","KSh 1,150",54%,3.8 out of 5(92)
AILYONS GS017 Gas Cooker Double Burner Stainless Steel Table Top (1 YR WRTY),"KSh 1,599",33%,3.9 out of 5(109)
"HOMMY Portable Wardrobe, 3 Column - Gray Cover","KSh 2,350",41%,3.7 out of 5(437)
"Lenovo Refurbished Laptop ThinkPad Yoga 11e Touchscreen 11.6"" Laptop Intel Celeron 4GB RAM 128GB SSD Webcam HDMI Wifi With Windows 10","KSh 11,199",34%,4 out of 5(1)
"Haier HMW20DBM Digital Microwave Oven 700W, 20L - Black","KSh 9,899",23%,4.6 out of 5(48)
"NIVEA Protective Care Hand Cream With Beeswax, 75ml",KSh 455,No discount,4.5 out of 5(125)
NIVEA Fresh Natural Spray For Women,KSh 550,No discount,4.2 out of 5(6)
"NIVEA His & Hers Body Pack (Nourishing Cocoa Lotion - 400 Ml, Deep Lotion 400 Ml)","KSh 1,310",No discount,4.5 out of 5(58)
NIVEA Black & White Invisible Clear Anti-Perspirant Rollon 48h - 50ml,KSh 520,No discount,4.7 out of 5(178)
Logitech M90 Wired Mouse,KSh 630,37%,3.8 out of 5(8)
NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Eye Cream 15ml,"KSh 1,980",No discount,4.3 out of 5(21)
"AILYONS GS014-5, 2 Burner Glass Top Gas Cooker & Infrared Double Burner,  (1 YR WRTY)","KSh 2,349",29%,4.1 out of 5(151)
NIVEA Lipbalm Classic/essential - 4.8g,KSh 395,No discount,4.5 out of 5(79)
NIVEA Fresh Energy Deo Roll-on For Women,KSh 450,No discount,4.5 out of 5(13)
NIVEA Hydro Care Lip Balm - 4.8g,KSh 395,No discount,4.5 out of 5(349)
Big Purple Round Mosquito Net For Single Bed-FREE SIZE.,KSh 799,47%,4.1 out of 5(248)
NIVEA MEN Deep Espresso Antibacterial Anti-Perspirant Spray 48h - 150ml,KSh 720,No discount,4.3 out of 5(19)
"NIVEA Black & White Invisible Clear Anti-Perspirant Spray,48h - 150 Ml",KSh 720,No discount,4.4 out of 5(34)
NIVEA MEN Maximum Hydration Body Lotion For Men 400ml,KSh 670,No discount,4.6 out of 5(31)
"NIVEA MEN Black & White Original Anti-Perspirant Spray,48h - 150 Ml",KSh 720,No discount,4.5 out of 5(65)
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2) + free 25ml","KSh 1,040",No discount,4.9 out of 5(11)
NIVEA Perfect & Radiant 3 In 1 Cleanser For Women - 150ml,"KSh 1,070",No discount,4.4 out of 5(473)
NIVEA Q10 Plus Firming Body Lotion For Women - 400ml,KSh 742,No discount,4.7 out of 5(13)
"HP EliteBook 820 Core I5, 4GB RAM 500GB HDD -12.5inch , Black Refurbished Windows 10","KSh 16,499",43%,No reviews
"AILYONS GS014-4, 2 Burner Glass Top Gas Cooker & Infrared Double Burner,  (1 YR WRTY)","KSh 2,349",29%,4.1 out of 5(44)
NIVEA MEN Dry Impact Roll-On For Men 48h - 25ml,KSh 220,No discount,4.7 out of 5(91)
NIVEA MEN Revitalising Body Lotion For Men - 400ml,KSh 670,No discount,4.4 out of 5(7)
NIVEA MEN Cool Kick Body Lotion For Men - 400ml (Pack Of 2),"KSh 1,340",No discount,4.6 out of 5(154)
NIVEA Rich Nourishing Body Lotion For Women - 400ml (Pack Of 2) + free 100ml,"KSh 1,280",No discount,4.7 out of 5(16)
NIVEA Perfect & Radiant Micellar Water For Women - 400ml,KSh 740,No discount,4.5 out of 5(134)
NIVEA MEN Deep Body Lotion For Men - 400ml,KSh 670,No discount,4.6 out of 5(163)
"VON VAMS-20DGX Microwave Oven, Solo, 20L, Digital, Black. (1YR WRTY)","KSh 9,499",27%,4.3 out of 5(259)
NIVEA MEN Fresh Active Deo Stick For Men,KSh 540,No discount,4.1 out of 5(11)
NIVEA Dry Comfort Spray For Women,KSh 550,No discount,4.5 out of 5(11)
NIVEA MEN Deep Beat Antibacterial Anti-Perspirant Rollon 72h - 50ml,KSh 450,No discount,4.6 out of 5(18)
